# File created by TEM-simulator, version 1.3.
35 6
#            x             y             z           phi         theta           psi  
     -152.8001     -101.3186        0.0000       -7.7488       77.0258       98.5933
     -102.8446     -101.3186        0.0000      -42.5309       61.0747       16.8985
      -52.8892     -101.3186        0.0000      142.1616       31.3872      135.8636
       -2.9337     -101.3186        0.0000     -156.1464       92.4141     -137.1971
       47.0217     -101.3186        0.0000      -87.8095       59.3674      -44.1346
       96.9771     -101.3186        0.0000      -43.1895      131.0101      -48.4261
      146.9326     -101.3186        0.0000        5.0160       19.7981      153.2685
     -152.8001      -51.3631        0.0000     -159.7058       38.9462     -119.9483
     -102.8446      -51.3631        0.0000       13.4604      130.8798      -87.9522
      -52.8892      -51.3631        0.0000       52.6051       62.2495     -158.7561
       -2.9337      -51.3631        0.0000     -127.2763       56.5811       49.8762
       47.0217      -51.3631        0.0000      -21.4668      116.5206       58.0762
       96.9771      -51.3631        0.0000       52.1306      115.6304       87.2553
      146.9326      -51.3631        0.0000      -28.4923      106.4534      -21.5895
     -152.8001       -1.4077        0.0000      109.8260        5.9557       78.8197
     -102.8446       -1.4077        0.0000      -40.7246       69.4420      -15.1060
      -52.8892       -1.4077        0.0000      159.2647       75.6563      144.6894
       -2.9337       -1.4077        0.0000       46.6865       46.9709        8.0553
       47.0217       -1.4077        0.0000       11.6659       40.6828      -69.8574
       96.9771       -1.4077        0.0000      -75.1971      100.0291      -77.4272
      146.9326       -1.4077        0.0000       41.0592       71.6309       26.0052
     -152.8001       48.5477        0.0000       93.3990      114.8816      -98.6369
     -102.8446       48.5477        0.0000       46.6317       89.1802      -40.5284
      -52.8892       48.5477        0.0000       92.7454       27.3042      123.1294
       -2.9337       48.5477        0.0000      -83.7577       26.5060      141.0732
       47.0217       48.5477        0.0000      179.0161       60.9917      -37.9054
       96.9771       48.5477        0.0000      -99.7405       17.9731      -23.0782
      146.9326       48.5477        0.0000      143.7257       92.3694     -116.3962
     -152.8001       98.5032        0.0000      -63.2521      102.8321      106.7679
     -102.8446       98.5032        0.0000       -3.4436      131.5559       34.0593
      -52.8892       98.5032        0.0000       19.0036       53.3702       38.3117
       -2.9337       98.5032        0.0000      156.9476       70.1255       20.6123
       47.0217       98.5032        0.0000      165.5476       93.8958      -53.6047
       96.9771       98.5032        0.0000      -42.4825       58.1289      154.4770
      146.9326       98.5032        0.0000      -60.8289       89.3408     -155.5120
